Task ID,Created At,Completed At,Last Modified,Name,Section/Column,Assignee,Due Date,Projects,Effort Level,Workstream
1,3/20/2024,3/25/2024,3/25/2024,Task description,Mar 18-22,Team Member 1,3/22/2024,All Projects,.5 (30 min),Workstream 1
2,3/21/2024,3/25/2024,3/25/2024,Task description,Mar 18-22,Team Member 1,3/22/2024,All Projects,1 (1 hour),Workstream 1
3,3/21/2024,3/21/2024,3/21/2024,Task description,Mar 18-22,Team Member 2,3/21/2024,All Projects,2 (2 hours),Workstream 1
4,3/21/2024,3/21/2024,3/21/2024,Task description,Mar 18-22,Team Member 2,3/21/2024,All Projects,.5 (30 min),Workstream 2
5,3/21/2024,3/21/2024,3/21/2024,Task description,Mar 18-22,Team Member 2,3/21/2024,All Projects,.5 (30 min),Workstream 3
6,3/21/2024,3/21/2024,3/21/2024,Task description,Mar 18-22,Team Member 2,3/21/2024,All Projects,.5 (30 min),Workstream 2
7,3/21/2024,3/21/2024,3/21/2024,Task description,Mar 18-22,Team Member 2,3/22/2024,All Projects,.5 (30 min),Workstream 3
8,3/20/2024,,3/22/2024,Task description,Mar 18-22,Team Member 3,3/22/2024,All Projects,1 (1 hour),Workstream 1
9,3/20/2024,3/25/2024,3/25/2024,Task description,Mar 18-22,Team Member 1,3/20/2024,All Projects,.5 (30 min),Workstream 3
10,3/20/2024,,3/22/2024,Task description,Mar 18-22,Team Member 2,3/22/2024,All Projects,2 (2 hours),Workstream 2
11,3/20/2024,3/25/2024,3/25/2024,Task description,Mar 18-22,Team Member 2,3/22/2024,All Projects,4 (4 hours),Workstream 2
12,3/20/2024,3/25/2024,3/25/2024,Task description,Mar 18-22,Team Member 2,3/21/2024,All Projects,1 (1 hour),Workstream 2
13,3/20/2024,3/20/2024,3/20/2024,Task description,Mar 18-22,Team Member 2,3/20/2024,All Projects,.5 (30 min),Workstream 1
14,3/20/2024,,3/22/2024,Task description,Mar 18-22,Team Member 3,3/22/2024,All Projects,1 (1 hour),Workstream 4
15,2/13/2024,3/20/2024,3/20/2024,Task description,Mar 18-22,Team Member 4,3/20/2024,All Projects,.5 (30 min),Workstream 4
16,3/20/2024,3/20/2024,3/20/2024,Task description,Mar 18-22,Team Member 1,3/19/2024,All Projects,.5 (30 min),Workstream 3
17,3/18/2024,3/18/2024,3/18/2024,Task description,Mar 18-22,Team Member 2,3/18/2024,All Projects,1 (1 hour),Workstream 4
18,3/18/2024,3/18/2024,3/18/2024,Task description,Mar 18-22,Team Member 2,,All Projects,2 (2 hours),Workstream 2
19,3/12/2024,3/19/2024,3/19/2024,Task description,Mar 18-22,Team Member 2,3/18/2024,All Projects,.5 (30 min),Workstream 1
20,3/17/2024,3/20/2024,3/20/2024,Task description,Mar 18-22,Team Member 1,3/18/2024,All Projects,.5 (30 min),Workstream 3
21,3/12/2024,3/21/2024,3/21/2024,Task description,Mar 18-22,Team Member 1,3/19/2024,All Projects,2 (2 hours),Workstream 4
22,3/14/2024,3/20/2024,3/20/2024,Task description,Mar 18-22,Team Member 1,3/18/2024,All Projects,1 (1 hour),Workstream 1
23,3/15/2024,3/18/2024,3/18/2024,Task description,Mar 18-22,Team Member 2,3/18/2024,All Projects,3 (3 hours),Workstream 2
24,3/15/2024,3/15/2024,3/15/2024,Task description,Mar 18-22,Team Member 2,3/18/2024,All Projects,2 (2 hours),Workstream 2
25,3/12/2024,,3/22/2024,Task description,Mar 18-22,Team Member 3,3/22/2024,All Projects,.5 (30 min),Workstream 1
26,3/12/2024,,3/12/2024,Task description,Mar 18-22,Team Member 5,,All Projects,,Workstream 1
27,3/12/2024,,3/12/2024,Task description,Mar 18-22,Team Member 5,,All Projects,,Workstream 1
28,3/12/2024,,3/22/2024,Task description,Mar 18-22,Team Member 3,3/22/2024,All Projects,1 (1 hour),Workstream 1
29,3/12/2024,,3/22/2024,Task description,Mar 18-22,Team Member 3,3/22/2024,All Projects,2 (2 hours),Workstream 1
30,3/20/2024,,3/22/2024,Task description,Mar 18-22,Team Member 3,3/22/2024,All Projects,2 (2 hours),Workstream 1
31,3/12/2024,3/20/2024,3/20/2024,Task description,Mar 18-22,Team Member 3,3/22/2024,All Projects,1 (1 hour),Workstream 1
32,3/19/2024,3/21/2024,3/21/2024,Task description,Mar 18-22,Team Member 3,3/21/2024,All Projects,2 (2 hours),Workstream 1
33,3/20/2024,3/21/2024,3/21/2024,Task description,Mar 18-22,Team Member 3,3/21/2024,All Projects,1 (1 hour),Workstream 1
34,3/20/2024,3/21/2024,3/21/2024,Task description,Mar 18-22,Team Member 3,3/20/2024,All Projects,.5 (30 min),Workstream 3
35,3/19/2024,3/21/2024,3/21/2024,Task description,Mar 18-22,Team Member 3,3/20/2024,All Projects,.5 (30 min),Workstream 1
36,3/15/2024,3/20/2024,3/20/2024,Task description,Mar 18-22,Team Member 3,3/20/2024,All Projects,.5 (30 min),Workstream 3
37,3/20/2024,3/21/2024,3/21/2024,Task description,Mar 18-22,Team Member 3,3/20/2024,All Projects,1 (1 hour),Workstream 1
38,3/20/2024,3/20/2024,3/20/2024,Task description,Mar 18-22,Team Member 3,,All Projects,.5 (30 min),Workstream 4
39,3/20/2024,3/20/2024,3/20/2024,Task description,Mar 18-22,Team Member 3,3/20/2024,All Projects,.5 (30 min),Workstream 1
40,3/20/2024,3/20/2024,3/20/2024,Task description,Mar 18-22,Team Member 3,3/20/2024,All Projects,.5 (30 min),Workstream 4
41,3/20/2024,3/20/2024,3/20/2024,Task description,Mar 18-22,Team Member 3,,All Projects,.5 (30 min),Workstream 4
42,3/19/2024,3/20/2024,3/20/2024,Task description,Mar 18-22,Team Member 3,,All Projects,.5 (30 min),Workstream 1
43,3/12/2024,3/25/2024,3/25/2024,Task description,Mar 18-22,Team Member 1,3/22/2024,All Projects,2 (2 hours),Workstream 1
44,3/20/2024,3/20/2024,3/20/2024,Task description,Mar 18-22,Team Member 3,,All Projects,.5 (30 min),Workstream 1
45,3/19/2024,3/20/2024,3/20/2024,Task description,Mar 18-22,Team Member 3,,All Projects,.5 (30 min),Workstream 1
46,3/12/2024,3/25/2024,3/25/2024,Task description,Mar 18-22,Team Member 1,3/22/2024,All Projects,1 (1 hour),Workstream 1
47,3/20/2024,3/20/2024,3/20/2024,Task description,Mar 18-22,Team Member 3,3/20/2024,All Projects,.5 (30 min),Workstream 1
48,3/19/2024,3/20/2024,3/20/2024,Task description,Mar 18-22,Team Member 3,3/20/2024,All Projects,2 (2 hours),Workstream 4
49,2/28/2024,3/18/2024,3/18/2024,Task description,Mar 18-22,Team Member 5,3/18/2024,All Projects,5 (5 hours),Workstream 4
50,2/13/2024,3/19/2024,3/19/2024,Task description,Mar 18-22,Team Member 4,3/19/2024,All Projects,.5 (30 min),Workstream 4
51,2/28/2024,,3/22/2024,Task description,Mar 18-22,Team Member 4,3/22/2024,All Projects,2 (2 hours),Workstream 4
52,3/13/2024,3/20/2024,3/20/2024,Task description,Mar 18-22,Team Member 2,3/20/2024,All Projects,2 (2 hours),Workstream 3
53,3/12/2024,3/20/2024,3/20/2024,Task description,Mar 18-22,Team Member 2,3/19/2024,All Projects,.5 (30 min),Workstream 3
54,3/15/2024,3/15/2024,3/15/2024,Task description,Mar 11-15,Team Member 2,3/15/2024,All Projects,.5 (30 min),Workstream 3
55,3/15/2024,3/15/2024,3/15/2024,Task description,Mar 11-15,Team Member 2,3/15/2024,All Projects,.5 (30 min),Workstream 4
56,3/14/2024,3/18/2024,3/18/2024,Task description,Mar 11-15,Team Member 1,3/18/2024,All Projects,.5 (30 min),Workstream 4
57,3/14/2024,3/14/2024,3/14/2024,Task description,Mar 11-15,Team Member 1,3/14/2024,All Projects,.5 (30 min),Workstream 4
58,3/14/2024,3/14/2024,3/14/2024,Task description,Mar 11-15,Team Member 2,3/14/2024,All Projects,.5 (30 min),Workstream 4
59,3/14/2024,3/14/2024,3/14/2024,Task description,Mar 11-15,Team Member 1,3/14/2024,All Projects,.5 (30 min),Workstream 5
